iter	Logloss
0	0.6711362353
1	0.6560062101
2	0.6388970411
3	0.6287847078
4	0.6211192363
5	0.6141478759
6	0.6084397938
7	0.6036303442
8	0.5999837536
9	0.5966062892
10	0.5936495231
11	0.5910128879
12	0.5886688101
13	0.5866208522
14	0.5843150889
15	0.5827660831
16	0.5812552334
17	0.5801056314
18	0.5788481696
19	0.5777516526
20	0.5768537703
21	0.5760985965
22	0.5751190259
23	0.5744257585
24	0.5736536943
25	0.5731258548
26	0.5724442667
27	0.5718619305
28	0.5711220924
29	0.570382564
30	0.5698320418
31	0.568520436
32	0.5680232094
33	0.5675984986
34	0.5672787296
35	0.5669419865
36	0.5665701736
37	0.5661061172
38	0.5657432845
39	0.565097256
40	0.5647203164
41	0.56441466
42	0.5640842698
43	0.5638221063
44	0.5636248046
45	0.5633493636
46	0.5631291478
47	0.5629552971
48	0.5626617108
49	0.5623859109
50	0.5620973842
51	0.5615568574
52	0.561320891
53	0.5611492441
54	0.5609296015
55	0.5607692579
56	0.5606023243
57	0.5604275534
58	0.5602049954
59	0.5600387224
60	0.5597886695
61	0.5595430224
62	0.5594087712
63	0.5591897973
64	0.5590386744
65	0.5588806564
66	0.5587676122
67	0.5585747843
68	0.5584596479
69	0.5582856763
70	0.5581646128
71	0.558013798
72	0.5578337106
73	0.5577118129
74	0.5576275853
75	0.5574943936
76	0.5572307837
77	0.5571253917
78	0.5570242856
79	0.5569074759
80	0.5567354112
81	0.5565690443
82	0.55644877
83	0.5563642105
84	0.556228099
85	0.5561525313
86	0.5560183628
87	0.5559300793
88	0.5558505472
89	0.5557790235
90	0.5556896906
91	0.5556142217
92	0.555555565
93	0.5554403264
94	0.5553481594
95	0.5552254384
96	0.5551546928
97	0.5550859346
98	0.5549887566
99	0.5548679399
100	0.5547940375
101	0.5547181367
102	0.5546135209
103	0.5545126838
104	0.5544174261
105	0.554361646
106	0.5540983092
107	0.5540356467
108	0.5539287241
109	0.5538570979
110	0.5537732633
111	0.5536680074
112	0.5536082816
113	0.5535500938
114	0.5534440261
115	0.5533671367
116	0.5532836057
117	0.5532247992
118	0.5531837566
119	0.553092659
120	0.5530498679
121	0.552953337
122	0.5528993039
123	0.5528142381
124	0.5527501445
125	0.5526878547
126	0.5526352065
127	0.5525878247
128	0.5525573973
129	0.5524836651
130	0.5524384723
131	0.5523786874
132	0.5522909847
133	0.5522357513
134	0.5521907092
135	0.5520996179
136	0.5520566213
137	0.5519985304
138	0.551946676
139	0.5518948921
140	0.5518402226
141	0.5517837334
142	0.5517400716
143	0.5517056365
144	0.5516665133
145	0.5515867866
146	0.5515440961
147	0.551502038
148	0.5514442441
149	0.551395838
150	0.5513491347
151	0.5513069984
152	0.5512604555
153	0.5512229731
154	0.5511764074
155	0.5511162192
156	0.5510946751
157	0.5510607045
158	0.5510277478
159	0.5509585467
160	0.5509173673
161	0.5508920348
162	0.550822452
163	0.5507937554
164	0.5507608014
165	0.5507102146
166	0.5506630176
167	0.5505967885
168	0.5505694029
169	0.5505310932
170	0.550473028
171	0.5504186127
172	0.5502882916
173	0.5502328128
174	0.550181885
175	0.5501309281
176	0.5500699487
177	0.5500141597
178	0.5499774423
179	0.5499462975
180	0.5498973532
181	0.5498504421
182	0.5498120084
183	0.5497787887
184	0.5497562226
185	0.5497157945
186	0.5496485508
187	0.5495971626
188	0.5495655375
189	0.549541994
190	0.5495144911
191	0.5494746206
192	0.5494423072
193	0.5493890866
194	0.5493583084
195	0.5493366691
196	0.5493079579
197	0.5492646087
198	0.5492174205
199	0.5491739635
200	0.5491524766
201	0.5491156142
202	0.5490750358
203	0.5490524521
204	0.5490033472
205	0.5489750753
206	0.5489430753
207	0.5488870164
208	0.548811327
209	0.5487736111
210	0.5487309914
211	0.5486666154
212	0.5486320097
213	0.5486016118
214	0.5485731279
215	0.548553216
216	0.5485078686
217	0.5484795039
218	0.5484506213
219	0.5484250837
220	0.5483825484
221	0.5483595382
222	0.5483234365
223	0.5482883082
224	0.5482658669
225	0.5482197672
226	0.5481673284
227	0.5481402588
228	0.548098933
229	0.5480685663
230	0.5480378946
231	0.548015369
232	0.5479831582
233	0.547954592
234	0.5479221172
235	0.5478941083
236	0.5478706207
237	0.5478467147
238	0.5478171991
239	0.5477789899
240	0.5477584633
241	0.5477206813
242	0.5476599852
243	0.5476168742
244	0.5475786344
245	0.5475506215
246	0.5475314801
247	0.5475061581
248	0.547477933
249	0.547449643
250	0.5474222917
251	0.5473898236
252	0.5473627523
253	0.5473292806
254	0.5473025743
255	0.5472688519
256	0.5472534724
257	0.5472376415
258	0.5472152506
259	0.5471971557
260	0.5471763223
261	0.5471452687
262	0.5470986901
263	0.5470816685
264	0.5470490477
265	0.5470178007
266	0.5469923954
267	0.5469590958
268	0.546934498
269	0.5469014988
270	0.5468735954
271	0.5468591068
272	0.5468214045
273	0.5468104874
274	0.5467934293
275	0.5467669288
276	0.5467411897
277	0.5466522463
278	0.5466176455
279	0.5466015748
280	0.5465739655
281	0.5464673494
282	0.5464478171
283	0.5464137593
284	0.5463948706
285	0.5463544858
286	0.5463315063
287	0.546309305
288	0.5462938441
289	0.546262979
290	0.5462366913
291	0.5462149502
292	0.5461966853
293	0.546159952
294	0.5461415471
295	0.5461122386
296	0.5461004225
297	0.5460755517
298	0.5460432389
299	0.5460095232
